100
0,90,3.93
0,41,2.09
1,61,9.15
1,89,7.43
1,66,3.66
1,30,9.0
1,67,8.44
1,37,1.18
2,22,6.56
2,13,4.16
2,64,1.41
2,69,2.54
2,77,3.28
2,72,7.75
3,45,8.58
3,41,7.44
3,47,1.92
3,66,2.39
4,43,4.53
4,30,8.77
4,56,8.52
4,61,3.65
5,29,9.33
5,70,0.53
5,98,2.26
6,97,2.3
6,96,4.76
6,40,1.52
6,99,1.64
6,30,2.9
6,66,3.83
7,72,4.07
7,47,4.44
7,86,4.73
8,77,0.54
8,94,7.46
8,15,3.99
8,57,9.47
9,38,1.17
9,96,6.35
10,22,5.19
10,36,7.74
10,90,7.25
11,12,3.81
11,43,9.71
12,31,2.75
12,72,1.67
13,15,2.82
13,56,9.09
13,99,4.41
13,33,5.15
14,93,1.6
14,24,7.4
14,30,1.81
14,38,9.77
15,49,4.04
15,23,9.95
15,34,5.23
15,69,3.62
15,30,3.34
16,38,9.11
16,39,7.43
16,53,7.89
17,20,6.83
18,60,8.24
18,20,5.71
19,39,5.0
19,27,2.23
19,65,9.19
20,25,5.5
20,40,3.03
20,55,3.64
20,46,6.45
20,88,9.61
21,34,1.12
21,30,3.69
22,28,2.48
22,92,8.82
22,73,5.29
22,45,8.22
22,53,4.38
23,98,1.44
23,87,4.9
23,42,9.59
24,26,7.77
24,44,3.68
24,58,6.62
25,99,3.48
25,48,8.8
25,85,7.15
25,33,8.13
25,96,7.35
26,50,6.95
26,82,0.58
26,31,4.05
27,63,1.85
27,29,2.32
28,99,6.79
29,73,9.77
31,82,7.44
31,50,8.77
31,89,7.94
31,63,8.95
32,63,4.44
32,84,1.6
32,88,4.12
32,34,1.71
32,71,1.17
32,58,7.55
33,47,7.55
33,70,8.36
33,90,5.16
34,91,9.53
35,78,2.44
35,73,4.84
36,69,9.92
36,70,1.68
36,81,1.48
38,50,5.24
39,57,5.59
39,45,8.54
42,78,1.83
42,88,5.95
43,94,2.27
44,54,1.36
44,56,9.12
45,69,5.23
45,94,9.13
45,86,6.93
46,54,0.79
46,87,7.32
48,90,1.04
48,53,1.92
48,52,0.67
48,85,7.79
48,87,9.62
49,89,7.46
49,88,8.01
49,72,8.89
49,69,3.34
50,92,3.53
50,91,0.96
51,71,9.43
51,67,0.85
52,58,3.33
53,77,4.1
53,70,4.39
54,90,0.81
55,93,7.58
55,80,4.65
55,64,1.62
56,98,5.62
56,72,7.99
56,81,3.88
56,71,2.03
57,93,8.25
57,83,1.69
57,89,7.57
57,68,5.86
58,81,4.77
59,76,8.08
59,92,6.95
59,71,3.01
60,89,2.67
60,69,8.97
61,81,3.01
62,79,9.58
62,80,4.94
62,99,2.63
62,86,6.09
63,93,6.03
64,75,2.28
65,84,8.78
66,92,4.94
66,89,7.18
66,97,9.89
66,81,9.5
69,81,8.1
69,98,6.93
69,80,8.58
70,75,4.68
70,78,4.53
70,90,2.6
72,83,3.45
73,93,6.21
73,94,4.48
73,95,6.92
74,97,1.03
76,98,2.06
77,80,5.28
78,84,6.99
79,82,8.3
79,93,9.52
79,98,6.06
81,91,2.57
85,89,4.56
86,98,9.87
88,90,2.66
93,94,8.27
94,99,7.89
