100
426,812
694,858
162,816
234,507
607,753
582,774
93,254
484,841
194,280
437,902
263,775
407,614
74,545
518,682
120,491
44,719
92,284
706,995
29,352
661,705
677,816
674,961
764,990
789,928
36,757
775,964
269,701
872,951
244,912
33,996
710,949
609,846
868,941
242,581
570,961
951,988
779,966
410,618
26,303
442,669
232,352
926,972
618,875
829,917
706,901
434,550
151,992
195,925
404,827
972,997
317,535
232,729
461,923
517,744
346,423
234,891
920,961
338,398
491,632
690,787
925,983
242,994
577,739
735,883
953,977
475,656
812,972
212,678
930,974
109,354
32,825
536,998
551,723
719,804
625,930
876,970
311,747
175,788
356,493
499,923
293,553
176,767
898,988
854,903
648,832
45,253
309,402
987,994
422,557
922,979
63,227
242,592
730,798
218,849
190,236
496,992
594,995
330,396
