1000
0,913,3.12
0,717,0.92
0,52,4.05
0,403,8.54
0,965,2.76
1,614,4.62
1,336,0.41
1,994,4.45
1,128,8.69
1,384,9.97
2,836,3.71
2,975,6.27
2,348,4.48
2,691,2.95
2,911,7.31
3,587,7.42
3,892,8.34
3,8,1.74
3,606,6.14
3,727,4.96
4,977,1.52
4,321,2.85
4,628,8.37
4,263,8.99
4,764,4.66
5,360,5.64
5,315,7.48
5,812,8.03
5,44,9.98
5,104,4.17
6,731,4.45
6,346,5.14
6,652,5.62
6,305,8.36
6,428,2.49
7,875,1.02
7,284,9.02
7,464,0.27
7,801,8.29
7,162,2.21
8,855,4.56
8,63,6.44
8,22,1.79
8,628,2.57
8,875,9.24
9,540,8.72
9,665,4.68
9,491,2.38
9,823,9.08
9,289,7.06
10,363,4.69
10,834,0.49
10,906,2.78
10,609,9.08
10,276,5.06
11,925,2.57
11,366,9.17
11,496,6.98
11,774,8.64
11,42,0.56
12,964,9.06
12,212,4.19
12,375,9.55
12,836,7.06
12,457,2.29
13,223,7.95
13,645,7.86
13,416,8.25
13,153,7.71
13,703,9.46
14,869,8.02
14,96,7.85
14,872,2.12
14,324,2.84
14,834,9.14
15,255,0.41
15,338,4.19
15,692,8.69
15,903,6.83
15,405,1.06
16,860,0.51
16,246,2.79
16,824,8.34
16,385,1.11
16,523,4.9
17,916,0.7
17,189,3.34
17,152,9.64
17,735,7.83
17,214,6.92
18,986,0.58
18,220,7.05
18,888,9.61
18,560,8.17
18,907,9.72
19,887,6.86
19,990,9.21
19,665,9.7
19,877,0.56
19,982,4.14
20,992,4.79
20,575,9.68
20,253,6.34
20,919,4.2
20,570,0.62
21,969,1.14
21,718,0.26
21,498,1.63
21,745,2.06
21,606,1.78
22,927,7.56
22,818,3.96
22,958,8.47
22,704,6.7
22,394,4.33
23,263,0.36
23,711,6.17
23,438,1.34
23,616,2.82
23,491,9.12
24,890,4.85
24,510,6.78
24,3,2.29
24,440,6.89
24,478,2.05
25,348,8.2
25,422,6.57
25,63,8.1
25,73,2.45
25,224,6.85
26,640,7.09
26,914,9.62
26,174,7.15
26,958,8.21
26,537,8.8
27,116,0.15
27,272,9.44
27,608,4.18
27,703,4.41
27,290,1.22
28,540,8.6
28,761,6.64
28,86,7.89
28,765,4.9
28,180,3.16
29,331,4.8
29,909,7.09
29,347,7.97
29,384,3.76
29,500,2.22
30,566,0.32
30,500,9.68
30,429,3.87
30,899,7.76
30,467,7.37
31,269,2.79
31,40,5.7
31,540,9.94
31,532,0.77
31,220,5.94
32,982,5.67
32,929,8.85
32,533,4.15
32,882,4.72
32,618,9.68
33,552,7.82
33,67,4.7
33,125,5.68
33,248,7.43
33,802,3.89
34,536,6.16
34,390,7.01
34,398,9.33
34,445,0.65
34,268,3.7
35,788,5.45
35,540,5.02
35,233,2.96
35,954,3.51
35,873,2.46
36,428,9.17
36,51,8.19
36,349,0.97
36,582,0.45
36,168,5.59
