100
491,635
719,822
305,439
592,942
786,826
127,898
385,602
153,214
675,781
292,942
314,758
791,936
309,782
17,622
854,919
295,799
66,811
706,855
249,652
83,513
190,547
239,678
224,734
543,607
747,851
311,650
622,772
102,781
826,989
232,935
304,529
137,958
525,835
162,294
153,381
554,623
402,716
63,966
129,736
501,985
380,612
531,747
45,649
696,986
93,476
555,802
209,370
277,870
29,565
754,958
601,930
507,711
575,999
370,994
765,854
184,993
295,779
651,967
216,376
681,892
215,461
813,971
2,956
378,587
902,973
81,346
161,869
765,817
231,744
67,850
645,811
623,767
431,856
7,733
124,346
843,984
564,784
645,861
371,753
711,955
736,883
58,360
541,670
326,576
357,911
794,845
264,395
518,692
822,929
716,892
799,860
635,862
225,985
443,772
85,354
469,747
